lat,lon,WIND_SPEED,SOLAR_IRRAD,n_days
-5.5,-34.5,7.074986177797178,6.052838513021969,13746
-5.5,-35.0,7.263942237741889,6.052838513021969,13746
-5.5,-35.5,5.859664629710461,5.756744289247781,13746
-5.5,-36.0,5.810799505310635,5.756744289247781,13746
-5.5,-36.5,5.810799505310635,6.019273475920268,13746
-5.5,-37.0,5.424636257820456,6.019273475920268,13746
-5.5,-37.5,4.968561035937727,6.07032175905718,13746
-5.5,-38.0,4.882834279063,6.07032175905718,13746
-5.5,-38.5,4.657760075658373,5.956101709588244,13746
-5.5,-39.0,4.657760075658373,5.956101709588244,13746
-6.0,-34.5,7.033193656336389,6.052838513021969,13746
-6.0,-35.0,6.745720936999855,6.052838513021969,13746
-6.0,-35.5,5.334500945729667,5.756744289247781,13746
-6.0,-36.0,5.806737960133858,5.756744289247781,13746
-6.0,-36.5,5.806737960133858,6.019273475920268,13746
-6.0,-37.0,5.347794994907609,6.019273475920268,13746
-6.0,-37.5,4.608411901644114,6.07032175905718,13746
-6.0,-38.0,4.698227848101266,6.07032175905718,13746
-6.0,-38.5,4.490880256074495,5.956101709588244,13746
-6.0,-39.0,4.490880256074495,5.956101709588244,13746
-6.5,-34.5,6.942229739560599,5.951636752509821,13746
-6.5,-35.0,5.934798486832532,5.951636752509821,13746
-6.5,-35.5,5.26617052233377,5.6384817619671175,13746
-6.5,-36.0,5.91307289393278,5.6384817619671175,13746
-6.5,-36.5,5.91307289393278,5.950549025170958,13746
-6.5,-37.0,5.423942965226247,5.950549025170958,13746
-6.5,-37.5,4.441895096755419,6.178662010766769,13746
-6.5,-38.0,4.407246471700859,6.178662010766769,13746
-6.5,-38.5,4.280234977447985,6.045700902080605,13746
-6.5,-39.0,4.280234977447985,6.045700902080605,13746
-7.0,-34.5,6.80812891022843,5.951636752509821,13746
-7.0,-35.0,5.203939327804453,5.951636752509821,13746
-7.0,-35.5,5.082800814782481,5.6384817619671175,13746
-7.0,-36.0,5.81566055579805,5.6384817619671175,13746
-7.0,-36.5,5.81566055579805,5.950549025170958,13746
-7.0,-37.0,5.688360977738978,5.950549025170958,13746
-7.0,-37.5,4.870208060526699,6.178662010766769,13746
-7.0,-38.0,4.3299534410010185,6.178662010766769,13746
-7.0,-38.5,4.1829143023425,6.045700902080605,13746
-7.0,-39.0,4.1829143023425,6.045700902080605,13746
-7.5,-34.5,6.646285464862506,5.809064797031864,13746
-7.5,-35.0,4.894738833115088,5.809064797031864,13746
-7.5,-35.5,4.879177942674232,5.460255274261604,13746
-7.5,-36.0,5.461073039429652,5.460255274261604,13746
-7.5,-36.5,5.461073039429652,5.888564935253893,13746
-7.5,-37.0,5.579249236141423,5.888564935253893,13746
-7.5,-37.5,5.1437720064018615,6.082559595518696,13746
-7.5,-38.0,4.477509093554488,6.082559595518696,13746
-7.5,-38.5,4.077068965517241,5.972200007274844,13746
-7.5,-39.0,4.077068965517241,5.972200007274844,13746
-8.0,-34.5,6.485649643532663,5.809064797031864,13746
-8.0,-35.0,4.940672923032155,5.809064797031864,13746
-8.0,-35.5,4.680906445511422,5.460255274261604,13746
-8.0,-36.0,5.143274407100247,5.460255274261604,13746
-8.0,-36.5,5.143274407100247,5.888564935253893,13746
-8.0,-37.0,5.2426473155827145,5.888564935253893,13746
-8.0,-37.5,4.817556380037829,6.082559595518696,13746
-8.0,-38.0,4.513748726902372,6.082559595518696,13746
-8.0,-38.5,4.457645860613997,5.972200007274844,13746
-8.0,-39.0,4.457645860613997,5.972200007274844,13746
-8.5,-34.5,6.3618136185072025,6.015360992288666,13746
-8.5,-35.0,5.0345002182453085,6.015360992288666,13746
-8.5,-35.5,4.16764295067656,5.3285134802851735,13746
-8.5,-36.0,4.967605121489888,5.3285134802851735,13746
-8.5,-36.5,4.967605121489888,5.70274106649207,13746
-8.5,-37.0,5.100325185508511,5.70274106649207,13746
-8.5,-37.5,5.001602648043067,5.924642739706097,13746
-8.5,-38.0,4.9534373635966835,5.924642739706097,13746
-8.5,-38.5,4.905565982831369,5.859180961734323,13746
-8.5,-39.0,4.905565982831369,5.859180961734323,13746
-9.0,-34.5,6.326649207042048,6.015360992288666,13746
-9.0,-35.0,5.577212279935981,6.015360992288666,13746
-9.0,-35.5,4.234140113487561,5.3285134802851735,13746
-9.0,-36.0,4.856238178379165,5.3285134802851735,13746
-9.0,-36.5,4.856238178379165,5.70274106649207,13746
-9.0,-37.0,5.001117415975557,5.70274106649207,13746
-9.0,-37.5,4.952996508075076,5.924642739706097,13746
-9.0,-38.0,5.313379164847955,5.924642739706097,13746
-9.0,-38.5,5.367661137785538,5.859180961734323,13746
-9.0,-39.0,5.367661137785538,5.859180961734323,13746
