lon,lat,name,code
-37.0,-8.3,São Sebastião do Umbuzeiro,2515203
-36.95,-8.3,São João do Tigre,2514107
-37.1,-8.25,São Sebastião do Umbuzeiro,2515203
-37.05,-8.25,São Sebastião do Umbuzeiro,2515203
-37.0,-8.25,São Sebastião do Umbuzeiro,2515203
-36.95,-8.25,São João do Tigre,2514107
-36.9,-8.25,São João do Tigre,2514107
-37.15,-8.2,São Sebastião do Umbuzeiro,2515203
-37.1,-8.2,São Sebastião do Umbuzeiro,2515203
-37.05,-8.2,São Sebastião do Umbuzeiro,2515203
-37.0,-8.2,São Sebastião do Umbuzeiro,2515203
-36.95,-8.2,São João do Tigre,2514107
-36.9,-8.2,São João do Tigre,2514107
-36.85,-8.2,São João do Tigre,2514107
-36.8,-8.2,São João do Tigre,2514107
-36.75,-8.2,São João do Tigre,2514107
-37.15,-8.15,São Sebastião do Umbuzeiro,2515203
-37.1,-8.15,São Sebastião do Umbuzeiro,2515203
-37.05,-8.15,São Sebastião do Umbuzeiro,2515203
-37.0,-8.15,São Sebastião do Umbuzeiro,2515203
-36.95,-8.15,São Sebastião do Umbuzeiro,2515203
-36.9,-8.15,São João do Tigre,2514107
-36.85,-8.15,São João do Tigre,2514107
-36.8,-8.15,São João do Tigre,2514107
-36.75,-8.15,São João do Tigre,2514107
-36.7,-8.15,São João do Tigre,2514107
-37.15,-8.1,Zabelê,2517407
-37.1,-8.1,Zabelê,2517407
-37.05,-8.1,São Sebastião do Umbuzeiro,2515203
-37.0,-8.1,São Sebastião do Umbuzeiro,2515203
-36.95,-8.1,São Sebastião do Umbuzeiro,2515203
-36.9,-8.1,São João do Tigre,2514107
-36.85,-8.1,São João do Tigre,2514107
-36.8,-8.1,São João do Tigre,2514107
-36.75,-8.1,São João do Tigre,2514107
-36.7,-8.1,São João do Tigre,2514107
-36.65,-8.1,São João do Tigre,2514107
-37.15,-8.05,Zabelê,2517407
-37.1,-8.05,Monteiro,2509701
-37.05,-8.05,Zabelê,2517407
-37.0,-8.05,São Sebastião do Umbuzeiro,2515203
-36.95,-8.05,Monteiro,2509701
-36.9,-8.05,São Sebastião do Umbuzeiro,2515203
-36.85,-8.05,São João do Tigre,2514107
-36.8,-8.05,São João do Tigre,2514107
-36.75,-8.05,São João do Tigre,2514107
-36.7,-8.05,São João do Tigre,2514107
-36.65,-8.05,São João do Tigre,2514107
-37.35,-8.0,Monteiro,2509701
-37.2,-8.0,Monteiro,2509701
-37.15,-8.0,Monteiro,2509701
-37.1,-8.0,Monteiro,2509701
