code,name,x,y,WIND_SPEED,SOLAR_IRRAD,n_points,IP_PB,wind_cls,solar_cls,group
2506202,Frei Martinho,0.9285619179953815,0.6530279742930515,5.883244537791815,5.929394970120055,14,1.1351972387037188,Good,Good,Good/Good
2509305,Mataraca,0.9127213490501208,0.6505035901805967,5.852432539016733,5.92758143556814,11,1.120810056097695,Good,Good,Good/Good
2516755,Tenório,0.8791502402883202,0.6796767018432665,5.787132298500043,5.948539595511419,4,1.111245051294966,Good,Good,Good/Good
2510303,Nova Palmeira,0.917716525704651,0.6202137673734703,5.862148817358285,5.905821022815952,13,1.1076410694764836,Good,Good,Good/Good
2501401,Baía da Traição,0.8783702024963249,0.6633973286027516,5.785615021969476,5.936844384109351,5,1.1007407634092152,Good,Good,Good/Good
2515401,São Vicente do Seridó,0.9011292131184702,0.6283165889100985,5.829884303573873,5.911642144392565,9,1.0985515894281592,Good,Good,Good/Good
2507705,Juazeirinho,0.8668352558167947,0.6647094959458276,5.763178027175381,5.937787053968039,17,1.0923562032265501,Good,Good,Good/Good
2511400,Picuí,0.9346103292283391,0.5595469427236387,5.895009496496587,5.862237567305137,25,1.0893067743347946,Good,Bad,Good/Bad
2507804,Junco do Seridó,0.8487828295223611,0.6779959169382533,5.728063673720435,5.9473321083130415,8,1.0863290270801607,Good,Good,Good/Good
2511103,Pedra Lavrada,0.9157300815343901,0.5750575902646641,5.8582849210833245,5.873380520986165,10,1.0813199407890262,Good,Bad,Good/Bad
2501351,Assunção,0.8423238079949715,0.6646146501233093,5.715500023760772,5.937718916090213,4,1.0729501529305443,Good,Good,Good/Good
2514701,São José do Sabugi,0.8260276369549827,0.6824737658982533,5.683801818736836,5.950549025170958,11,1.07149059639027,Good,Good,Good/Good
2513406,Santa Luzia,0.8190762240660494,0.6840033482609115,5.670280402545345,5.951647887444332,13,1.0671206310733734,Good,Good,Good/Good
2501153,Areia de Baraúnas,0.8234353212964511,0.6750446782539776,5.6787594223954345,5.945211918561223,3,1.0647680714585717,Good,Good,Good/Good
