lon,lat,name,code,WIND_SPEED,SOLAR_IRRAD
-37.0,-8.3,São Sebastião do Umbuzeiro,2515203,3.1949368823501905,5.5424525440466414
-36.95,-8.3,São João do Tigre,2514107,3.1599763325868704,5.538171951252027
-37.1,-8.25,São Sebastião do Umbuzeiro,2515203,3.1795395473015082,5.578593575333767
-37.05,-8.25,São Sebastião do Umbuzeiro,2515203,3.1743533675074076,5.569854386360341
-37.0,-8.25,São Sebastião do Umbuzeiro,2515203,3.1573244111783745,5.562682350225604
-36.95,-8.25,São João do Tigre,2514107,3.1301593469205424,5.5569220939697255
-36.9,-8.25,São João do Tigre,2514107,3.09610893477131,5.552130433647028
-37.15,-8.2,São Sebastião do Umbuzeiro,2515203,3.1366764555486455,5.607440988468735
-37.1,-8.2,São Sebastião do Umbuzeiro,2515203,3.139206181303053,5.598758950859034
-37.05,-8.2,São Sebastião do Umbuzeiro,2515203,3.133875643923248,5.5904112914373085
-37.0,-8.2,São Sebastião do Umbuzeiro,2515203,3.1200713975162864,5.58271366008529
-36.95,-8.2,São João do Tigre,2514107,3.09858488279625,5.575775656317804
-36.9,-8.2,São João do Tigre,2514107,3.071188934996095,5.569535242440651
-36.85,-8.2,São João do Tigre,2514107,3.100745335090633,5.462877515407984
-36.8,-8.2,São João do Tigre,2514107,3.0821731447015477,5.454962506954161
-36.75,-8.2,São João do Tigre,2514107,3.0641888769392605,5.446976137721607
-37.15,-8.15,São Sebastião do Umbuzeiro,2515203,3.099278437228322,5.626557657440262
-37.1,-8.15,São Sebastião do Umbuzeiro,2515203,3.099938410620217,5.618854488990987
-37.05,-8.15,São Sebastião do Umbuzeiro,2515203,3.0949152443872325,5.610678341544734
-37.0,-8.15,São Sebastião do Umbuzeiro,2515203,3.083751594406031,5.602397104365445
-36.95,-8.15,São Sebastião do Umbuzeiro,2515203,3.0667352658721345,5.594343722346044
-36.9,-8.15,São João do Tigre,2514107,3.0447955226017616,5.5867338312817045
-36.85,-8.15,São João do Tigre,2514107,3.0829727704874372,5.478045383559179
-36.8,-8.15,São João do Tigre,2514107,3.070022926115845,5.468759741855365
-36.75,-8.15,São João do Tigre,2514107,3.0570771392525127,5.459572858906699
-36.7,-8.15,São João do Tigre,2514107,3.0735409142171086,5.514627183071679
-37.15,-8.1,Zabelê,2517407,3.055081766473174,5.75771411598329
-37.1,-8.1,Zabelê,2517407,3.0617744801782036,5.6389407318427125
-37.05,-8.1,São Sebastião do Umbuzeiro,2515203,3.0676259164927484,5.682443810252416
-37.0,-8.1,São Sebastião do Umbuzeiro,2515203,3.070737600606773,5.676047789260617
-36.95,-8.1,São Sebastião do Umbuzeiro,2515203,3.071352360986876,5.6698746081307085
-36.9,-8.1,São João do Tigre,2514107,3.0126811261316586,5.545989058162231
-36.85,-8.1,São João do Tigre,2514107,3.0648672579937166,5.548937115500506
-36.8,-8.1,São João do Tigre,2514107,3.0599197458210248,5.540455433439087
-36.75,-8.1,São João do Tigre,2514107,3.0541505156565063,5.532174428315263
-36.7,-8.1,São João do Tigre,2514107,3.0478266268700858,5.524106701661552
-36.65,-8.1,São João do Tigre,2514107,3.041197905778185,5.516237573750761
-37.15,-8.05,Zabelê,2517407,3.0203359731869637,5.776532500788684
-37.1,-8.05,Monteiro,2509701,3.0312725176692696,5.773002497733343
-37.05,-8.05,Zabelê,2517407,3.031150154230055,5.69963771988128
-37.0,-8.05,São Sebastião do Umbuzeiro,2515203,3.035226807793282,5.691889346553979
-36.95,-8.05,Monteiro,2509701,3.037429460944766,5.684048731592915
-36.9,-8.05,São Sebastião do Umbuzeiro,2515203,3.0359959662294647,5.571899478714244
-36.85,-8.05,São João do Tigre,2514107,3.034138472356826,5.561642221120079
-36.8,-8.05,São João do Tigre,2514107,3.031064572414177,5.5517438436696915
-36.75,-8.05,São João do Tigre,2514107,3.02697645520501,5.542271263958625
-36.7,-8.05,São João do Tigre,2514107,3.022122877190228,5.533220416681067
-36.65,-8.05,São João do Tigre,2514107,3.0167577558949468,5.524556818011217
-37.35,-8.0,Monteiro,2509701,2.985722543835615,5.795953200114089
-37.2,-8.0,Monteiro,2509701,2.9825943950245373,5.796299673009265
-37.15,-8.0,Monteiro,2509701,2.98596740664076,5.795253912814444
-37.1,-8.0,Monteiro,2509701,2.9959770456960104,5.792076447201922
-37.05,-8.0,Monteiro,2509701,2.9961177572163673,5.716195593238466
-37.0,-8.0,Monteiro,2509701,3.0015278885963665,5.706595949508134
-36.95,-8.0,Monteiro,2509701,3.005334864620284,5.696903997538289
-36.9,-8.0,Camalaú,2503902,3.004876728749291,5.584953262459888
-36.85,-8.0,São João do Tigre,2514107,3.0047589358272964,5.5731705870802175
-36.8,-8.0,São João do Tigre,2514107,3.003250163588174,5.562028660607787
-36.75,-8.0,São João do Tigre,2514107,3.000549479854022,5.551543696241684
-36.7,-8.0,São João do Tigre,2514107,2.996906477661149,5.541674776791031
-36.65,-8.0,São João do Tigre,2514107,2.992582578144965,5.532360688422957
-37.35,-7.95,Monteiro,2509701,2.9729307691602584,5.806318664175199
-37.3,-7.95,Monteiro,2509701,2.967796929147394,5.807936240974528
-37.25,-7.95,Monteiro,2509701,2.9614788582419362,5.810121322167596
