lon,lat,name,code,kappa
-36.85,-7.9,Camalaú,2503902,0.18874719612503868
-36.8,-7.9,Camalaú,2503902,0.1955806211858029
-36.75,-7.9,Camalaú,2503902,0.19676799244127718
-36.7,-7.9,Camalaú,2503902,0.19781391266494075
-36.65,-7.9,Camalaú,2503902,0.19875533762082706
-36.6,-7.9,Congo,2504702,0.19963028126003807
-36.55,-7.9,Congo,2504702,0.20047744840128065
-36.5,-7.9,Caraúbas,2504074,0.15165266300831073
-36.45,-7.9,Caraúbas,2504074,0.15278260770462315
-38.25,-7.85,Manaíra,2509008,0.3850749576055039
-38.1,-7.85,São José de Princesa,2514552,0.38442661941468326
-37.25,-7.85,Monteiro,2509701,0.2927501199400509
-37.2,-7.85,Monteiro,2509701,0.28604859851958
-37.15,-7.85,Monteiro,2509701,0.27990551938049596
-37.1,-7.85,Monteiro,2509701,0.1839856618939047
-37.05,-7.85,Monteiro,2509701,0.18509242995181305
-37.0,-7.85,Monteiro,2509701,0.1861663402146335
-36.95,-7.85,Monteiro,2509701,0.1869332640261917
-36.9,-7.85,Camalaú,2503902,0.1873674620221616
-36.85,-7.85,Camalaú,2503902,0.18748539947345463
-36.8,-7.85,Camalaú,2503902,0.1873172763521383
-36.75,-7.85,Camalaú,2503902,0.1938627397463599
-36.7,-7.85,Camalaú,2503902,0.1947840060690967
-36.65,-7.85,Congo,2504702,0.1955836679024817
-36.6,-7.85,Congo,2504702,0.19629860058965884
-36.55,-7.85,Caraúbas,2504074,0.1480306297546117
-36.5,-7.85,Caraúbas,2504074,0.14892268369953582
-36.45,-7.85,Caraúbas,2504074,0.14980195378549763
-36.25,-7.85,Barra de São Miguel,2501708,0.14445255554552838
-38.3,-7.8,Manaíra,2509008,0.3298725243906412
-38.25,-7.8,Manaíra,2509008,0.3287061376473924
-38.2,-7.8,Manaíra,2509008,0.3791387277745449
-38.15,-7.8,Manaíra,2509008,0.37901052382631384
-38.1,-7.8,São José de Princesa,2514552,0.37900074743022283
-38.05,-7.8,São José de Princesa,2514552,0.3330009444859607
-38.0,-7.8,Princesa Isabel,2512309,0.330625172590513
-37.25,-7.8,Monteiro,2509701,0.29319858825445505
-37.2,-7.8,Monteiro,2509701,0.28781027333867587
-37.15,-7.8,Monteiro,2509701,0.28374521149935034
-37.1,-7.8,Monteiro,2509701,0.18579386802860232
-37.05,-7.8,Monteiro,2509701,0.18586947549356422
-37.0,-7.8,Monteiro,2509701,0.18630850600718707
-36.95,-7.8,Sumé,2516300,0.186684155930863
-36.9,-7.8,Sumé,2516300,0.18684798680775763
-36.85,-7.8,Sumé,2516300,0.1867591294727258
-36.8,-7.8,Sumé,2516300,0.18641851313170554
-36.75,-7.8,Sumé,2516300,0.18584603827924145
-36.7,-7.8,Congo,2504702,0.19201450055720146
-36.65,-7.8,Congo,2504702,0.1926237226209448
-36.6,-7.8,Congo,2504702,0.19313369304734168
-36.55,-7.8,Caraúbas,2504074,0.14563357054011156
-36.5,-7.8,Caraúbas,2504074,0.14627121300432736
-36.45,-7.8,Caraúbas,2504074,0.14689352614418213
-36.4,-7.8,Barra de São Miguel,2501708,0.14751924882790407
-36.35,-7.8,Barra de São Miguel,2501708,0.14035375267739744
-36.3,-7.8,Barra de São Miguel,2501708,0.1401547404246064
-36.25,-7.8,Barra de São Miguel,2501708,0.13999059659809884
-36.2,-7.8,Barra de São Miguel,2501708,0.1398373275452588
-36.15,-7.8,Barra de São Miguel,2501708,0.13965779096730632
-36.1,-7.8,Alcantil,2500536,0.13940975406843378
-36.05,-7.8,Alcantil,2500536,0.1390549320150364
-36.0,-7.8,Santa Cecília,2513158,0.13856578028844385
-35.95,-7.8,Santa Cecília,2513158,0.13792967879190499
-35.9,-7.8,Santa Cecília,2513158,0.1371541624819763
-38.6,-7.75,Santa Inês,2513356,0.3440300063215652
-38.55,-7.75,Santa Inês,2513356,0.3438666590921455
-38.5,-7.75,Santa Inês,2513356,0.3242492324689513
-38.45,-7.75,Santa Inês,2513356,0.3247009008585808
-38.4,-7.75,Santana de Mangueira,2513505,0.32494382742384564
-38.3,-7.75,Manaíra,2509008,0.3242226982374522
-38.25,-7.75,Manaíra,2509008,0.3230712009689834
-38.2,-7.75,Manaíra,2509008,0.3741315406371142
-38.15,-7.75,Manaíra,2509008,0.3739665712151264
-38.1,-7.75,São José de Princesa,2514552,0.37397836303037246
-38.05,-7.75,Princesa Isabel,2512309,0.3269763009618029
-38.0,-7.75,Princesa Isabel,2512309,0.32484996801954186
-37.95,-7.75,Princesa Isabel,2512309,0.32272534795640806
-37.15,-7.75,Prata,2512200,0.1890405031679682
-37.1,-7.75,Prata,2512200,0.18787856650875004
-37.05,-7.75,Monteiro,2509701,0.1873662624956225
-37.0,-7.75,Sumé,2516300,0.1872050924996122
-36.95,-7.75,Sumé,2516300,0.1871081450869041
-36.9,-7.75,Sumé,2516300,0.18690916817390255
-36.85,-7.75,Sumé,2516300,0.18653165503204813
-36.8,-7.75,Sumé,2516300,0.18594909369738555
-36.75,-7.75,Sumé,2516300,0.1851620919772122
