lat,lon,r_month,kappa
-5.5,-34.5,-0.07651214797209663,0.5382560739860484
-5.5,-35.0,0.017809334697839643,0.4910953326510802
-5.5,-35.5,0.5243230178597835,0.23783849107010824
-5.5,-36.0,0.5576618923994461,0.22116905380027696
-5.5,-36.5,0.6290412155660514,0.1854793922169743
-5.5,-37.0,0.6791942170557052,0.16040289147214742
-5.5,-37.5,0.7578246741973155,0.12108766290134226
-5.5,-38.0,0.7610759113722183,0.11946204431389085
-5.5,-38.5,0.8216528543039924,0.08917357284800381
-5.5,-39.0,0.8216528543039924,0.08917357284800381
-6.0,-34.5,-0.1492497089097447,0.5746248544548723
-6.0,-35.0,0.08619315736715495,0.45690342131642253
-6.0,-35.5,0.5628867012300892,0.2185566493849554
-6.0,-36.0,0.5804337796589606,0.2097831101705197
-6.0,-36.5,0.6489001173818797,0.17554994130906015
-6.0,-37.0,0.6527112108132014,0.1736443945933993
-6.0,-37.5,0.6896984815789171,0.15515075921054144
-6.0,-38.0,0.694775745187784,0.15261212740610802
-6.0,-38.5,0.7562390861937934,0.12188045690310328
-6.0,-39.0,0.7562390861937934,0.12188045690310328
-6.5,-34.5,-0.2678449529682941,0.633922476484147
-6.5,-35.0,0.16533604036651361,0.4173319798167432
-6.5,-35.5,0.45651172877310303,0.27174413561344846
-6.5,-36.0,0.4903995020130857,0.25480024899345716
-6.5,-36.5,0.5282819437834316,0.23585902810828419
-6.5,-37.0,0.4258640398199389,0.28706798009003054
-6.5,-37.5,0.45503826222953536,0.2724808688852323
-6.5,-38.0,0.5019747853669911,0.24901260731650443
-6.5,-38.5,0.5557933771187478,0.22210331144062612
-6.5,-39.0,0.5557933771187478,0.22210331144062612
-7.0,-34.5,-0.3037241845344173,0.6518620922672087
-7.0,-35.0,0.2991295094921035,0.35043524525394826
-7.0,-35.5,0.5423454711435061,0.22882726442824697
-7.0,-36.0,0.5369695876647673,0.23151520616761634
-7.0,-36.5,0.568729191472147,0.21563540426392652
-7.0,-37.0,0.386768467565327,0.3066157662173365
-7.0,-37.5,0.36567263330786254,0.3171636833460687
-7.0,-38.0,0.3621161551094635,0.31894192244526826
-7.0,-38.5,0.32484279279889977,0.33757860360055014
-7.0,-39.0,0.32484279279889977,0.33757860360055014
-7.5,-34.5,-0.4039091141162873,0.7019545570581437
-7.5,-35.0,0.20734008482564514,0.39632995758717743
-7.5,-35.5,0.5473061937813262,0.22634690310933692
-7.5,-36.0,0.5556812962634629,0.22215935186826857
-7.5,-36.5,0.5785420606399836,0.2107289696800082
-7.5,-37.0,0.39555661721026675,0.30222169139486665
-7.5,-37.5,0.26908177443997006,0.36545911278001497
-7.5,-38.0,0.09015765416198679,0.4549211729190066
-7.5,-38.5,0.025340769623120558,0.4873296151884397
-7.5,-39.0,0.025340769623120558,0.4873296151884397
-8.0,-34.5,-0.44209852684562856,0.7210492634228143
-8.0,-35.0,0.04208609732588448,0.47895695133705773
-8.0,-35.5,0.5375404145795083,0.23122979271024585
-8.0,-36.0,0.5712185800671454,0.21439070996642728
-8.0,-36.5,0.5885129965643598,0.20574350171782008
-8.0,-37.0,0.46252592561166267,0.26873703719416864
-8.0,-37.5,0.2335160683884471,0.38324196580577646
-8.0,-38.0,-0.0019123101687716355,0.5009561550843858
-8.0,-38.5,-0.021043966215078966,0.5105219831075395
-8.0,-39.0,-0.021043966215078966,0.5105219831075395
-8.5,-34.5,-0.5030788513617432,0.7515394256808716
-8.5,-35.0,-0.05978907270931981,0.5298945363546599
-8.5,-35.5,0.5357543380240691,0.23212283098796543
-8.5,-36.0,0.5437317399298074,0.2281341300350963
-8.5,-36.5,0.5802067360009109,0.20989663199954456
-8.5,-37.0,0.4220371508898365,0.28898142455508175
-8.5,-37.5,-0.013652885413333721,0.5068264427066669
-8.5,-38.0,-0.1339980660389142,0.5669990330194571
-8.5,-38.5,-0.12178824628180666,0.5608941231409034
-8.5,-39.0,-0.12178824628180666,0.5608941231409034
-9.0,-34.5,-0.4881401633992659,0.744070081699633
-9.0,-35.0,-0.1669994202392029,0.5834997101196014
-9.0,-35.5,0.5693417978034243,0.21532910109828785
-9.0,-36.0,0.7395252650076135,0.13023736749619325
-9.0,-36.5,0.7480711482076813,0.12596442589615936
-9.0,-37.0,0.6437425885660006,0.17812870571699968
-9.0,-37.5,0.2924726712858706,0.3537636643570647
-9.0,-38.0,0.08935102200976079,0.4553244889951196
-9.0,-38.5,0.046248523752285456,0.47687573812385725
-9.0,-39.0,0.046248523752285456,0.47687573812385725
