code,name,x,y,kappa,WIND_SPEED,SOLAR_IRRAD,M,M_norm,IPH,IPH_norm,rank_M,rank_IPH,delta_rank
2514602,São José do Bonfim,0.6106030742913446,0.8900056238504597,0.2457076422312042,3.1004743125346197,5.898803618927939,1.0793266997621653,0.7631992285175239,0.9507231115092386,1.0,1,1,0
2510808,Patos,0.6059429230439505,0.8353382221750183,0.2574587179842692,3.0904786224959158,5.824058686133446,1.0319674274964143,0.7297111659463513,0.9175816672297052,0.9651408029547924,2,2,0
2513604,Santana dos Garrotes,0.2550819899733685,0.9764910688804693,0.2856278043344168,2.3379070969204117,6.0170523115372685,1.0092579596971705,0.7136531472683685,0.9174923287789787,0.9650468340066886,6,3,3
2511301,Piancó,0.24106989983846897,0.9801700974398416,0.28323872740541145,2.3078521690119755,6.02208252577814,1.0093800654477767,0.7137394890726441,0.9158981536565682,0.9633700312624283,5,4,1
2513802,Santa Teresinha,0.5414616032257714,0.8721615946635216,0.2571505744646189,2.9521708183126356,5.874406067160634,1.0265702679182949,0.7258947978095172,0.9125590620671129,0.9598578713611562,3,5,-2
2511004,Pedra Branca,0.22446703523292477,0.9770499722296768,0.2863503403002209,2.272240215763808,6.017816481627574,1.002502916773947,0.708876610610151,0.9118636692892349,0.9591264357102713,9,6,3
2510204,Nova Olinda,0.2461606652841839,0.9628738981080097,0.2879424801460196,2.318771495607559,5.998434003678383,0.9938416457317866,0.7027521671225446,0.9051043690518001,0.9520167944744498,12,7,5
2514552,São José de Princesa,0.2880316527532218,0.8941454427310933,0.35720857312281346,2.4085817592956724,5.904463856556416,0.9393925195276656,0.6642508207539285,0.901526908631097,0.9482539108573427,32,8,24
2505907,Emas,0.3483710962393822,0.9425437979354342,0.2679230618725932,2.538005535945157,5.970637329160613,1.0048637876456596,0.7105459984130448,0.9009176579091864,0.947613082087604,8,9,-1
2510402,Olho d'Água,0.3534739936918223,0.9462269321851069,0.25660988362677767,2.54895088482464,5.975673156976233,1.010093694371411,0.7142441009237966,0.8975261965429645,0.9440458380339298,4,10,-6
2508802,Malta,0.4693673409568223,0.8592246702924061,0.28272167061625564,2.797533798835551,5.85671783773961,0.9790672779722401,0.6923051114920254,0.888034769189224,0.9340624609193531,16,11,5
2512309,Princesa Isabel,0.2960244382684001,0.9092442120246041,0.31322191588648857,2.425725710707172,5.925107905139942,0.9562193812888155,0.6761492088113262,0.8879339594203433,0.9339564260836998,25,12,13
2504801,Coremas,0.19640776399477752,0.9610008128967481,0.2799758208660548,2.2120550923377658,5.995872996131961,0.9808662356028159,0.6935771666316729,0.887762003193328,0.9337755572009161,15,13,2
2505303,Curral Velho,0.2288882214634014,0.9357914137976394,0.3027736999217932,2.2817233429880464,5.961405017341981,0.9633770747023535,0.6812104623616932,0.8874630744763785,0.9334611347225618,19,14,5
2514404,São José de Espinharas,0.5361671868649138,0.8102707092547251,0.2855509243430799,2.9408146751169473,5.789784703629643,0.971603764168702,0.6870276102700642,0.8832089794318982,0.928986545861745,18,15,3
2503407,Cacimba de Areia,0.6200291051849863,0.7960309248924874,0.23781890647982504,3.120692472441077,5.770315116772697,1.0090100716354042,0.7134778639389184,0.8831563893384334,0.9289312299734195,7,16,-9
2502607,Igaracy,0.13384693088082958,0.9659276697366657,0.27748706412388535,2.0778665943314434,6.002609324768433,0.9751570458490892,0.689540159841732,0.8808786343917289,0.9265354168085447,17,17,0
2504207,Catingueira,0.4416385611317539,0.8890047648647643,0.2547603941041448,2.7380575557763076,5.897435177492461,0.9926601083103828,0.7019166939996443,0.880737267591272,0.926386722831565,13,18,-5
2502102,Boa Ventura,0.1819913025510491,0.9416648969173872,0.2895108606991834,2.181132816987365,5.969435636826359,0.9590899917581567,0.6781790369403425,0.8745192336330844,0.9198464022241098,22,19,3
2504504,Condado,0.42637730567726523,0.8623192505806937,0.278808570320553,2.705323257890622,5.860948955162173,0.9619730228642867,0.6802176477858588,0.8698681576718436,0.9149542565457983,20,20,0
2516706,Teixeira,0.598303653101916,0.7964412662380549,0.23240389643794845,3.074092936622466,5.770876162942027,0.9961355087948498,0.70437417324955,0.868073475663004,0.9130665544513467,10,21,-11
2508703,Mãe d'Água,0.5300948660741076,0.8428081633879987,0.23246246388098096,2.9277899827371843,5.83427209004201,0.9956536382254512,0.704033439302274,0.8676947872570817,0.9126682382630287,11,22,-11
2509008,Manaíra,0.2760155211263895,0.8604894184916025,0.3510026846105565,2.382808019167979,5.85844708618116,0.9036739496293388,0.638993977764536,0.8632825794098664,0.9080273414616339,51,23,28
2513927,São Bentinho,0.36669952170835807,0.8834725230249252,0.27560473568666033,2.577318693428579,5.889871125939826,0.9565522662986929,0.676384594059166,0.8627993913273715,0.9075191092785244,24,24,0
2505501,Vista Serrana,0.4291589500176949,0.8462386867969405,0.2830449163141236,2.711289685405265,5.838962531398152,0.9488399862000445,0.6709311885030016,0.8608348506053691,0.9054527445312914,28,25,3
2509396,Maturéia,0.558184451489342,0.8133099289361967,0.23207039977855315,2.9880401278978987,5.793940128322917,0.9864293803363011,0.6975109039974425,0.859382538338029,0.9039251575296096,14,26,-12
2516607,Tavares,0.3249130685271637,0.8972752580367283,0.27325328142274485,2.487689749722171,5.90874314965448,0.954291040922325,0.6747856662617451,0.8591730638248001,0.9037048257519414,26,27,-1
2501104,Areia,0.9602695043672291,0.030542408154079485,0.26389482511909584,3.8504837148974973,4.723687949850424,0.9607550987184685,0.6793564453633799,0.8586350957060797,0.9031389742309172,21,28,-7
2508000,Juru,0.34726791984018485,0.8926499885628668,0.26530602271192766,2.5356393017267815,5.902419171463003,0.9578199257853302,0.6772809646784026,0.8569676836757272,0.9013851386397055,23,29,-6
2507002,Itaporanga,0.14493838957879152,0.9364040904467777,0.27715977682288667,2.1016569773761797,5.962242709889296,0.94755461973395,0.6700222971585165,0.8557255275053287,0.9000786003265402,29,30,-1
2503753,Cajazeirinhas,0.3078415065761063,0.8868919664803488,0.2695526280084277,2.4510724742990355,5.894546418041464,0.9387991017136879,0.663831210993588,0.8427686584709267,0.8864501643733704,33,31,2
2514651,São José do Brejo do Cruz,0.5063431334010438,0.7655640869056389,0.29584838466611124,2.876844220447846,5.728658815430489,0.9178625931489157,0.6490268638130674,0.8410404130770756,0.8846323423672264,48,32,16
2513968,São Domingos,0.20634160107571162,0.9125939400158133,0.268977997674613,2.2333624600785718,5.929687877589873,0.9356305658154151,0.6615907177734863,0.8395440643203086,0.883058436422738,36,33,3
2512101,Pombal,0.2776404289230381,0.8888829958047407,0.2732517906853515,2.3862933297972972,5.897268686678394,0.9312342283246354,0.6584820377213714,0.8384134336628754,0.881869204096579,40,34,6
2500205,Aguiar,0.08780439748930238,0.9188491743542258,0.2841792075707355,1.9791086639669015,5.938240452907321,0.9230348950228814,0.6526842335424924,0.8381635218245107,0.8816063390885243,43,35,8
2507408,Jericó,0.3094479054255818,0.8784862183143721,0.270377702720124,2.454518084564768,5.883053516193239,0.9313946757098016,0.658595491155446,0.8366650270758872,0.8800301759233682,39,36,3
2514206,São José da Lagoa Tapada,0.09734481718858483,0.9170696837409635,0.28249280475824856,1.999572179653543,5.935807414163567,0.9222216752333627,0.6521092003147286,0.8363253573202948,0.8796729007593583,44,37,7
2500775,Aparecida,0.1519956026193302,0.9223239600465333,0.26003925194810695,2.11679419296114,5.942991412621645,0.9347642218717683,0.6609781200960938,0.832858375999948,0.876026222480082,37,38,-1
2500106,Água Branca,0.4077545226650598,0.8485173149509082,0.24945556159746815,2.6653787245984595,5.84207802441615,0.941406067818404,0.6656746144045562,0.8317308491820228,0.8748402548684023,31,39,-8
2508109,Lagoa,0.25567233999062067,0.8855124195670139,0.27611450843506535,2.33917335534713,5.892660209109562,0.9216835631840826,0.6517286976356446,0.8316804466163359,0.8747872398895123,45,40,5
2512606,Quixaba,0.6212052943762308,0.7151130068300238,0.24167074504958988,3.1232153138593954,5.659678719905745,0.947250035787034,0.6698069237842116,0.8316796620945158,0.8747864147051757,30,41,-11
2506707,Imaculada,0.4574240132805764,0.833195106233528,0.2321623120793992,2.7719162179578523,5.821128474487965,0.9505002961478807,0.672105204925988,0.8281427032622038,0.8710661319125368,27,42,-15
2513901,São Bento,0.47311131261268974,0.7800146985987201,0.27266579132017993,2.805564349390465,5.748416659533841,0.9122813404603617,0.6450803221894752,0.8209716587043451,0.8635234052542198,50,43,7
2510907,Paulista,0.40671355570354206,0.8020173307472889,0.2825899438390831,2.663145925160098,5.778500131783182,0.899248416852665,0.6358646535277866,0.8155536102574619,0.8578245341725205,54,44,10
2513984,São Francisco,0.19179237382108502,0.898127957703123,0.254337503726587,2.202155411590342,5.909909017745979,0.9183779957424446,0.6493913084819928,0.8145558728230448,0.8567750830522746,47,45,2
2502003,Belém do Brejo do Cruz,0.4746913609191779,0.7536818843551186,0.28994504731011234,2.808953439632261,5.712412672320157,0.89071222678056,0.6298286556423038,0.8124443549997761,0.8545541232399936,59,46,13
2512705,Remígio,0.8941175122159577,0.28146299373937117,0.2172479455013452,3.7085924384380404,5.06676337929329,0.9373726806857465,0.6628225790119036,0.8068194225341426,0.8486376451429123,35,47,-12
2502300,Bom Sucesso,0.2454601883950292,0.885926481734927,0.23667545966209022,2.317269022942711,5.893226342636396,0.9193021457204097,0.6500447811982453,0.8038944285892827,0.8455610459633504,46,48,-2
2502805,Brejo do Cruz,0.4668745834076654,0.7583210665273371,0.27394064421636405,2.7921870127592525,5.7187556728845985,0.8905182292189414,0.6296914786509498,0.8021895679701458,0.8437678207871678,60,49,11
2512804,Riacho dos Cavalos,0.4026201701799389,0.7967144754540959,0.26659995569659006,2.654365906930918,5.771249712879759,0.8926684473161456,0.6312119124485128,0.7994929803424463,0.8409314664427165,58,50,8
2502904,Brejo dos Santos,0.31348174150611163,0.8468425003321162,0.25113033996431733,2.4631703735114976,5.83978810570247,0.9030022273651681,0.638518998396467,0.7988704915374472,0.840276713447377,52,51,1
2500403,Alagoa Nova,0.9119544657723697,0.21779701127156703,0.20022619953209242,3.746851423934348,4.979714984180171,0.9376014535830217,0.6629843458789186,0.7957311818035248,0.8369746902863551,34,52,-18
2504306,Catolé do Rocha,0.3764997902575946,0.8107978432168413,0.2559858458881119,2.59833956625304,5.790505436486236,0.8939492349284127,0.6321175660544066,0.7939307159015784,0.835080904514083,57,53,4
2500908,Arara,0.884954180032638,0.07981137566089119,0.2631776856889218,3.688937748415402,4.791051781901823,0.8885458662568425,0.6282968074254884,0.7936505071294667,0.834786172253218,61,54,7
2509370,Mato Grosso,0.33921604798030724,0.8016852553842735,0.2809177454521282,2.5183686143456145,5.778046096106882,0.8704980045398875,0.6155350420195124,0.7884497582704147,0.8293158636048925,65,55,10
2513208,Santa Cruz,0.19489394922514763,0.8785424557727344,0.2306682017231482,2.2088080682799753,5.883130407812685,0.8999002711632891,0.6363255841311746,0.7831056623331445,0.8236947780621348,53,56,-3
2515807,Serra Redonda,0.9023855260148264,0.24075849924697132,0.1819466320686092,3.72632673476918,5.011109468333131,0.9339509047700038,0.6604030180581811,0.7805611230018121,0.8210183528227262,38,57,-19
2505600,Diamante,0.16964002653872154,0.8255873240765801,0.30234648442275674,2.154640216200912,5.8107266052092275,0.8428357896292648,0.5959749022735715,0.776165818780182,0.8163952357780035,79,58,21
2509339,Matinhas,0.9064055733023982,0.19352550135633678,0.1840914610936913,3.734949447744423,4.946529350295365,0.9268350354776576,0.655371338627526,0.7760196059143954,0.8162414445594915,42,59,-17
2500304,Alagoa Grande,0.8512409481211228,0.0993286653624962,0.2770547253196836,3.6166252850422684,4.8177371275075656,0.8570165316496776,0.6060022011184625,0.7738979744924618,0.8140098469510505,73,60,13
2511608,Pilões,0.8432478325170187,0.07994920762435843,0.289914500151625,3.599480625613708,4.791240234993254,0.8470293872377822,0.5989402235801219,0.7725816791200555,0.8126253267301033,76,61,15
2515104,São Sebastião de Lagoa de Roça,0.8406670970623036,0.39970765279573195,0.1722609815811005,3.5939451332428005,5.228435396319956,0.9308530366210522,0.6582124944828357,0.7715968248713937,0.8115894265434566,41,62,-21
2515906,Serraria,0.8599206879300788,0.023332500126865077,0.2668787180495374,3.63524270412184,4.713830080728565,0.8602371737447239,0.6082795389836445,0.7706164025633632,0.8105581880091643,69,63,6
2506004,Esperança,0.8315528820288435,0.3847096792124296,0.18855514385842254,3.5743957959822326,5.207929162381986,0.9162323574782798,0.6478741131154285,0.7700341097160561,0.8099457143664623,49,64,-15
2517407,Zabelê,0.5833813156424016,0.6184023285833654,0.27574810810226635,3.0420855935170996,5.527449403631074,0.850150104062799,0.6011469036092542,0.7669120249710415,0.8066618089820036,75,65,10
