code,name,x,y,WIND_SPEED,SOLAR_IRRAD,n_points,IP_PB,wind_cls,solar_cls,group
2514602,São José do Bonfim,0.6106030742913446,0.8639013957670694,3.1004743125346197,5.890056207286908,5,1.0579044077525777,Good,Good,Good/Good
2506707,Imaculada,0.4574240132805764,0.938936992026876,2.7719162179578523,5.987528714311296,14,1.0444325746175225,Bad,Good,Bad/Good
2510808,Patos,0.6059429230439505,0.8459508132162638,3.0904786224959158,5.8667380973365715,14,1.0405765730441487,Good,Good,Good/Good
2509396,Maturéia,0.558184451489342,0.8746720531997864,2.9880401278978987,5.904047473227313,3,1.0376035285855516,Good,Good,Good/Good
2510402,Olho d'Água,0.3534739936918223,0.9709889582295909,2.54895088482464,6.029164759822579,18,1.0333263865885902,Bad,Good,Bad/Good
2516706,Teixeira,0.598303653101916,0.8368670545450037,3.074092936622466,5.85493814138198,8,1.0287437622158047,Good,Good,Good/Good
2504207,Catingueira,0.4416385611317539,0.927966705142623,2.7380575557763076,5.973278126341254,17,1.0276997735388393,Bad,Good,Bad/Good
2513802,Santa Teresinha,0.5414616032257714,0.870407160765948,2.9521708183126356,5.898507305914238,13,1.0250801399307576,Good,Good,Good/Good
2508703,Mãe d'Água,0.5300948660741076,0.8756600333881933,2.9277899827371843,5.905330876180773,8,1.0236117726518867,Good,Good,Good/Good
2503407,Cacimba de Areia,0.6200291051849863,0.8082743307695439,3.120692472441077,5.817795710216376,7,1.018696954475397,Good,Good,Good/Good
2500106,Água Branca,0.4077545226650598,0.9177672842733293,2.6653787245984595,5.960028906345925,9,1.0042711480652289,Bad,Good,Bad/Good
2512606,Quixaba,0.6212052943762308,0.7868331951009416,3.1232153138593954,5.7899433128044535,6,1.0024981270176099,Good,Good,Good/Good
2511301,Piancó,0.24106989983846897,0.9668145009342437,2.3078521690119755,6.023742069282013,21,0.9964160656196086,Bad,Good,Bad/Good
2514206,São José da Lagoa Tapada,0.09734481718858483,0.9868426303960085,1.999572179653543,6.0497589477631,12,0.9916321851374087,Bad,Good,Bad/Good
2514404,São José de Espinharas,0.5361671868649138,0.832190322735257,2.9408146751169473,5.848862987762912,27,0.9899575675375418,Good,Good,Good/Good
2502607,Igaracy,0.13384693088082958,0.9806534181234151,2.0778665943314434,6.041719056474344,7,0.9897454861646782,Bad,Good,Bad/Good
2504801,Coremas,0.19640776399477752,0.9694449547087909,2.2120550923377658,6.027159073168131,12,0.9891408039140624,Bad,Good,Bad/Good
2513604,Santana dos Garrotes,0.2550819899733685,0.9546796061327815,2.3379070969204117,6.007978635955245,10,0.9881700116754285,Bad,Good,Bad/Good
2500205,Aguiar,0.08780439748930238,0.9829804408728666,1.9791086639669015,6.044741898333379,10,0.9868941986642108,Bad,Good,Bad/Good
2508000,Juru,0.34726791984018485,0.9233315343398005,2.5356393017267815,5.967256961172219,13,0.9864766243841864,Bad,Good,Bad/Good
2508802,Malta,0.4693673409568223,0.8670607953869955,2.797533798835551,5.894160320760996,5,0.9859513799645534,Bad,Good,Bad/Good
2507002,Itaporanga,0.14493838957879152,0.9702850488138821,2.1016569773761797,6.0282503696013086,15,0.9810505658351415,Bad,Good,Bad/Good
2510204,Nova Olinda,0.2461606652841839,0.9483592894135127,2.318771495607559,5.999768437775675,3,0.9797859026083477,Bad,Good,Bad/Good
2510006,Nazarezinho,0.027283237166898112,0.9789738758667196,1.84929511774268,6.039537302712481,6,0.9793539833276895,Bad,Good,Bad/Good
2508406,Lastro,0.16064655634324415,0.9656948581064704,2.135349867953828,6.022287634336005,5,0.9789657169881993,Bad,Good,Bad/Good
2504504,Condado,0.42637730567726523,0.8805549052669261,2.705323257890622,5.911689397434222,8,0.9783529771949638,Bad,Good,Bad/Good
2503555,Cacimbas,0.5977908133005984,0.773003254083895,3.0729929320472182,5.771977985811336,4,0.977183650748866,Good,Good,Good/Good
2505907,Emas,0.3483710962393822,0.91214416679719,2.538005535945157,5.952724381760097,8,0.9764063711985748,Bad,Good,Bad/Good
2513208,Santa Cruz,0.19489394922514763,0.956269270283589,2.2088080682799753,6.010043636539362,8,0.975927542768049,Bad,Good,Bad/Good
2511004,Pedra Branca,0.22446703523292477,0.9496898562117493,2.272240215763808,6.001496866522192,4,0.9758566866593436,Bad,Good,Bad/Good
2516607,Tavares,0.3249130685271637,0.9179565168245676,2.487689749722171,5.960274722626453,10,0.9737621213009007,Bad,Good,Bad/Good
2505402,Desterro,0.5846088882184399,0.7786647146630524,3.04471864860881,5.779332318735666,8,0.9736972270913035,Good,Good,Good/Good
2504108,Carrapateira,0.04329234261694375,0.9717361986077167,1.8836335002072113,6.030135437695966,2,0.9727000907853554,Bad,Good,Bad/Good
2512804,Riacho dos Cavalos,0.4026201701799389,0.879741276635329,2.654365906930918,5.910632480098163,7,0.9674955892673007,Bad,Good,Bad/Good
2513901,São Bento,0.47311131261268974,0.841995600351876,2.805564349390465,5.861600209015245,11,0.9658110090147132,Bad,Good,Bad/Good
2513984,São Francisco,0.19179237382108502,0.9462555916223877,2.202155411590342,5.997035698809856,3,0.9654967422692641,Bad,Good,Bad/Good
2502102,Boa Ventura,0.1819913025510491,0.9479292889311561,2.181132816987365,5.999209859885632,6,0.9652413019643092,Bad,Good,Bad/Good
2513927,São Bentinho,0.36669952170835807,0.8904970399035849,2.577318693428579,5.924604398267343,5,0.9630438812941938,Bad,Good,Bad/Good
2510709,Passagem,0.5933749979695416,0.7582728326383117,3.063521325016849,5.752842919530855,4,0.9628455623477123,Good,Good,Good/Good
2503753,Cajazeirinhas,0.3078415065761063,0.9108033079749355,2.4510724742990355,5.95098258350053,11,0.9614203341874624,Bad,Good,Bad/Good
2501104,Areia,0.9602695043672291,0.045550889655238076,3.8504837148974973,4.827005076471487,8,0.9613492625295281,Good,Bad,Good/Bad
2505501,Vista Serrana,0.4291589500176949,0.8582073247703315,2.711289685405265,5.882659512879294,2,0.9595296851425388,Bad,Good,Bad/Good
2500775,Aparecida,0.1519956026193302,0.9472522956283446,2.11679419296114,5.998330434149674,8,0.9593693630655411,Bad,Good,Bad/Good
2504306,Catolé do Rocha,0.3764997902575946,0.8820045074218917,2.59833956625304,5.913572455119847,22,0.9590015866392227,Bad,Good,Bad/Good
2514909,São Mamede,0.601716462967172,0.7466357652421195,3.0814131688988766,5.737726172412712,19,0.9589200528429934,Good,Good,Good/Good
2514305,São José de Caiana,0.11653976449106311,0.9504887081217355,2.0407439642929615,6.002534588647275,6,0.9576065481055139,Bad,Good,Bad/Good
2515708,Serra Grande,0.09629084903905967,0.9515636905164516,1.9973114935997993,6.003931008936351,3,0.9564232246855742,Bad,Good,Bad/Good
2510600,Ouro Velho,0.553081772029222,0.7734507414607489,2.9770952465963014,5.772559279472716,8,0.9508551393441413,Good,Good,Good/Good
2509701,Monteiro,0.5429455192566277,0.7801354768109073,2.955353711721127,5.781242863609483,40,0.9504741969458355,Good,Good,Good/Good
2512309,Princesa Isabel,0.2960244382684001,0.902957166899055,2.425725710707172,5.940790313707869,15,0.950243186403612,Bad,Good,Bad/Good
2502300,Bom Sucesso,0.2454601883950292,0.9155687428563708,2.317269022942711,5.957172963908072,7,0.9479012749134366,Bad,Good,Bad/Good
2513968,São Domingos,0.20634160107571162,0.9230597496936851,2.2333624600785718,5.966903908325995,6,0.9458415077797425,Bad,Good,Bad/Good
2507408,Jericó,0.3094479054255818,0.8936563778870972,2.454518084564768,5.928708431674688,6,0.9457165156168977,Bad,Good,Bad/Good
2501153,Areia de Baraúnas,0.5802677317305583,0.7460521148457672,3.0354071794399418,5.736968000688971,3,0.9451478183615349,Good,Good,Good/Good
2514503,São José de Piranhas,0.054790922533327874,0.9433751004347962,1.9082971290526727,5.993293892100623,25,0.944964880465097,Bad,Good,Bad/Good
2508505,Livramento,0.5588720605174409,0.760742542483458,2.989514999924109,5.756051114337434,8,0.9439635564846801,Good,Good,Good/Good
2510907,Paulista,0.40671355570354206,0.8517425530892424,2.663145925160098,5.874261665264221,21,0.9438650820620493,Bad,Good,Bad/Good
