lon,lat,name,code,elev,dist_coast,WIND_SPEED,SOLAR_IRRAD
-37.0,-8.3,São Sebastião do Umbuzeiro,2515203,877.0,228.91814511616957,2.9858837940339282,5.321199649226497
-36.95,-8.3,São João do Tigre,2514107,835.0,223.96218119492872,2.9362437190478774,5.206955524366869
-37.1,-8.25,São Sebastião do Umbuzeiro,2515203,655.0,236.64685364446905,3.0349829912998545,5.4683331040376295
-37.05,-8.25,São Sebastião do Umbuzeiro,2515203,735.0,231.5929618267663,3.0105875201462213,5.32893326490161
-37.0,-8.25,São Sebastião do Umbuzeiro,2515203,692.0,226.56092779362828,3.0080751713046374,5.3259998421927115
-36.95,-8.25,São João do Tigre,2514107,689.0,221.552240893366,2.964594314478753,5.211759160566942
-36.9,-8.25,São João do Tigre,2514107,936.0,216.5685210139777,2.9766881255239976,5.2518726135487315
-37.15,-8.2,São Sebastião do Umbuzeiro,2515203,643.0,239.61765290330385,3.0008743230874098,5.643859021002113
-37.1,-8.2,São Sebastião do Umbuzeiro,2515203,649.0,234.49775863237736,3.0130872129877737,5.470565290724659
-37.05,-8.2,São Sebastião do Umbuzeiro,2515203,697.0,229.39652445378505,2.9861793929925557,5.330042546883828
-37.0,-8.2,São Sebastião do Umbuzeiro,2515203,675.0,224.31522343900696,2.9777388083784526,5.294697149165953
-36.95,-8.2,São João do Tigre,2514107,658.0,219.25524146221463,2.980661066170567,5.250753934108255
-36.9,-8.2,São João do Tigre,2514107,701.0,214.2180892407634,2.985463538251581,5.260715511206063
-36.85,-8.2,São João do Tigre,2514107,747.0,209.2054158343445,2.9846429931336034,5.259116719238006
-36.8,-8.2,São João do Tigre,2514107,929.0,204.2190237906973,2.9569560710861333,5.241388408724082
-36.75,-8.2,São João do Tigre,2514107,1021.0,199.2608861487308,2.931977034444923,5.241340427926293
-37.15,-8.15,São Sebastião do Umbuzeiro,2515203,679.0,237.624101620964,3.002262144185583,5.645568508491527
-37.1,-8.15,São Sebastião do Umbuzeiro,2515203,647.0,232.4603039056147,2.953131862825829,5.4852524554062505
-37.05,-8.15,São Sebastião do Umbuzeiro,2515203,636.0,227.31335094920848,2.967138101214632,5.362371587327438
-37.0,-8.15,São Sebastião do Umbuzeiro,2515203,609.0,222.18441339295975,2.9684188590042915,5.310646380039329
-36.95,-8.15,São Sebastião do Umbuzeiro,2515203,618.0,217.07476821808672,2.9698773066433652,5.292652248629789
-36.9,-8.15,São João do Tigre,2514107,663.0,211.9858104832625,2.9773477175370777,5.285587918160891
-36.85,-8.15,São João do Tigre,2514107,660.0,206.91906655188404,2.9773477175370777,5.285587918160891
-36.8,-8.15,São João do Tigre,2514107,758.0,201.8762090150977,2.9488402503716302,5.265140527097929
-36.75,-8.15,São João do Tigre,2514107,983.0,196.85907354516195,2.9262522554836545,5.2650925463001395
-36.7,-8.15,São João do Tigre,2514107,1117.0,191.86967794562776,2.932075474174764,5.269575879301381
-37.15,-8.1,Zabelê,2517407,682.0,235.7433697560808,3.0027247013159473,5.647027951493865
-37.1,-8.1,Zabelê,2517407,614.0,230.53744946249563,2.941825091271598,5.495540264965621
-37.05,-8.1,São Sebastião do Umbuzeiro,2515203,598.0,225.34658247362,2.9627221979744895,5.3280300070039
-37.0,-8.1,São Sebastião do Umbuzeiro,2515203,583.0,220.1718335018257,2.9975545455430925,5.34275403672373
-36.95,-8.1,São Sebastião do Umbuzeiro,2515203,612.0,215.014366286809,2.9704469278476178,5.295527652913802
