lon,lat,name,code,elev,dist_coast
-37.0,-8.3,São Sebastião do Umbuzeiro,2515203,877.0,228.91814511616954
-36.95,-8.3,São João do Tigre,2514107,835.0,223.96218119492872
-37.1,-8.25,São Sebastião do Umbuzeiro,2515203,655.0,236.64685364446902
-37.05,-8.25,São Sebastião do Umbuzeiro,2515203,735.0,231.5929618267663
-37.0,-8.25,São Sebastião do Umbuzeiro,2515203,692.0,226.56092779362828
-36.95,-8.25,São João do Tigre,2514107,689.0,221.552240893366
-36.9,-8.25,São João do Tigre,2514107,936.0,216.5685210139777
-37.15,-8.2,São Sebastião do Umbuzeiro,2515203,643.0,239.61765290330385
-37.1,-8.2,São Sebastião do Umbuzeiro,2515203,649.0,234.49775863237736
-37.05,-8.2,São Sebastião do Umbuzeiro,2515203,697.0,229.39652445378505
-37.0,-8.2,São Sebastião do Umbuzeiro,2515203,675.0,224.31522343900699
-36.95,-8.2,São João do Tigre,2514107,658.0,219.25524146221466
-36.9,-8.2,São João do Tigre,2514107,701.0,214.2180892407634
-36.85,-8.2,São João do Tigre,2514107,747.0,209.2054158343445
-36.8,-8.2,São João do Tigre,2514107,929.0,204.2190237906973
-36.75,-8.2,São João do Tigre,2514107,1021.0,199.2608861487308
-37.15,-8.15,São Sebastião do Umbuzeiro,2515203,679.0,237.62410162096398
-37.1,-8.15,São Sebastião do Umbuzeiro,2515203,647.0,232.46030390561467
-37.05,-8.15,São Sebastião do Umbuzeiro,2515203,636.0,227.31335094920848
-37.0,-8.15,São Sebastião do Umbuzeiro,2515203,609.0,222.18441339295978
-36.95,-8.15,São Sebastião do Umbuzeiro,2515203,618.0,217.07476821808672
-36.9,-8.15,São João do Tigre,2514107,663.0,211.9858104832625
-36.85,-8.15,São João do Tigre,2514107,660.0,206.91906655188404
-36.8,-8.15,São João do Tigre,2514107,758.0,201.87620901509766
-36.75,-8.15,São João do Tigre,2514107,983.0,196.85907354516195
-36.7,-8.15,São João do Tigre,2514107,1117.0,191.86967794562779
-37.15,-8.1,Zabelê,2517407,682.0,235.74336975608077
-37.1,-8.1,Zabelê,2517407,614.0,230.53744946249563
-37.05,-8.1,São Sebastião do Umbuzeiro,2515203,598.0,225.34658247362
-37.0,-8.1,São Sebastião do Umbuzeiro,2515203,583.0,220.17183350182566
-36.95,-8.1,São Sebastião do Umbuzeiro,2515203,612.0,215.014366286809
-36.9,-8.1,São João do Tigre,2514107,584.0,209.87545487509416
-36.85,-8.1,São João do Tigre,2514107,603.0,204.75649639385077
-36.8,-8.1,São João do Tigre,2514107,586.0,199.65902553876546
