lon,lat,name,code,kappa
-37.0,-8.3,São Sebastião do Umbuzeiro,2515203,0.28960583157020686
-36.95,-8.3,São João do Tigre,2514107,0.2709617323649991
-37.1,-8.25,São Sebastião do Umbuzeiro,2515203,0.3151506000872961
-37.05,-8.25,São Sebastião do Umbuzeiro,2515203,0.3023667006611721
-37.0,-8.25,São Sebastião do Umbuzeiro,2515203,0.2918719925317469
-36.95,-8.25,São João do Tigre,2514107,0.26880987766707837
-36.9,-8.25,São João do Tigre,2514107,0.2633448096750993
-37.15,-8.2,São Sebastião do Umbuzeiro,2515203,0.32468483945494303
-37.1,-8.2,São Sebastião do Umbuzeiro,2515203,0.3108984980084181
-37.05,-8.2,São Sebastião do Umbuzeiro,2515203,0.29878583561572597
-37.0,-8.2,São Sebastião do Umbuzeiro,2515203,0.2790245193289001
-36.95,-8.2,São João do Tigre,2514107,0.2670710677333284
-36.9,-8.2,São João do Tigre,2514107,0.2616994365585076
-36.85,-8.2,São João do Tigre,2514107,0.25559335222698787
-36.8,-8.2,São João do Tigre,2514107,0.2489913630350423
-36.75,-8.2,São João do Tigre,2514107,0.24213572367962255
-37.15,-8.15,São Sebastião do Umbuzeiro,2515203,0.31941137620858495
-37.1,-8.15,São Sebastião do Umbuzeiro,2515203,0.3061282557206511
-37.05,-8.15,São Sebastião do Umbuzeiro,2515203,0.28547426656969144
-37.0,-8.15,São Sebastião do Umbuzeiro,2515203,0.2767961071276009
-36.95,-8.15,São Sebastião do Umbuzeiro,2515203,0.26893567921690625
-36.9,-8.15,São João do Tigre,2514107,0.26036860843718745
-36.85,-8.15,São João do Tigre,2514107,0.25429020885928505
-36.8,-8.15,São João do Tigre,2514107,0.2477526186923858
-36.75,-8.15,São João do Tigre,2514107,0.2409756377949993
-36.7,-8.15,São João do Tigre,2514107,0.23416566615956852
-37.15,-8.1,Zabelê,2517407,0.31428888298863544
-37.1,-8.1,Zabelê,2517407,0.30119807305561397
-37.05,-8.1,São Sebastião do Umbuzeiro,2515203,0.28349981881804426
-37.0,-8.1,São Sebastião do Umbuzeiro,2515203,0.2743494002539544
-36.95,-8.1,São Sebastião do Umbuzeiro,2515203,0.26644307665587474
-36.9,-8.1,São João do Tigre,2514107,0.2592992005007793
-36.85,-8.1,São João do Tigre,2514107,0.25316226680342174
-36.8,-8.1,São João do Tigre,2514107,0.24663758661278634
-36.75,-8.1,São João do Tigre,2514107,0.23990438699013214
-36.7,-8.1,São João do Tigre,2514107,0.23311784615006625
-36.65,-8.1,São João do Tigre,2514107,0.22644249006701062
-37.15,-8.05,Zabelê,2517407,0.30180117503883563
-37.1,-8.05,Monteiro,2509701,0.2910645187740339
-37.05,-8.05,Zabelê,2517407,0.28148415293440704
-37.0,-8.05,São Sebastião do Umbuzeiro,2515203,0.2716671430106543
-36.95,-8.05,Monteiro,2509701,0.2640973702961945
-36.9,-8.05,São Sebastião do Umbuzeiro,2515203,0.2597784696225771
-36.85,-8.05,São João do Tigre,2514107,0.25457325951560816
-36.8,-8.05,São João do Tigre,2514107,0.24562208750955783
-36.75,-8.05,São João do Tigre,2514107,0.23896593216313988
-36.7,-8.05,São João do Tigre,2514107,0.23223884927231292
-36.65,-8.05,São João do Tigre,2514107,0.2230124043898585
-37.35,-8.0,Monteiro,2509701,0.3582525220116471
-37.2,-8.0,Monteiro,2509701,0.313296767209164
-37.15,-8.0,Monteiro,2509701,0.3019986025368753
-37.1,-8.0,Monteiro,2509701,0.29080690912205487
-37.05,-8.0,Monteiro,2509701,0.2797209469292629
-37.0,-8.0,Monteiro,2509701,0.2687370371941686
-36.95,-8.0,Monteiro,2509701,0.26465335514959576
-36.9,-8.0,Camalaú,2503902,0.2599864107795001
-36.85,-8.0,São João do Tigre,2514107,0.25475727156978617
-36.8,-8.0,São João do Tigre,2514107,0.2489994797709433
-36.75,-8.0,São João do Tigre,2514107,0.24275459377184896
