lon,lat,name,code,elev,dist_coast,WIND_SPEED,SOLAR_IRRAD
-37.0,-8.3,São Sebastião do Umbuzeiro,2515203,877.0,228.91814511616957,5.055308743431581,5.749683492079267
-36.95,-8.3,São João do Tigre,2514107,835.0,223.96218119492872,5.0599971866800075,5.746036734438948
-37.1,-8.25,São Sebastião do Umbuzeiro,2515203,655.0,236.64685364446905,5.053395790026955,5.748372763946235
-37.05,-8.25,São Sebastião do Umbuzeiro,2515203,735.0,231.5929618267663,5.055308743431581,5.749683492079267
-37.0,-8.25,São Sebastião do Umbuzeiro,2515203,692.0,226.56092779362828,5.056421989375855,5.750098770851274
-36.95,-8.25,São João do Tigre,2514107,689.0,221.552240893366,5.06762458628933,5.747039804889746
-36.9,-8.25,São João do Tigre,2514107,936.0,216.5685210139777,5.067961216261339,5.7473185406928895
-37.15,-8.2,São Sebastião do Umbuzeiro,2515203,643.0,239.61765290330385,5.064810580747462,5.960172682166178
-37.1,-8.2,São Sebastião do Umbuzeiro,2515203,649.0,234.49775863237736,5.090324840306954,5.94651634943943
-37.05,-8.2,São Sebastião do Umbuzeiro,2515203,697.0,229.39652445378505,5.09328405453291,5.9471398038619725
-37.0,-8.2,São Sebastião do Umbuzeiro,2515203,675.0,224.31522343900696,5.129059494007079,5.911736022437939
-36.95,-8.2,São João do Tigre,2514107,658.0,219.25524146221463,5.1559203784310315,5.9049300777329
-36.9,-8.2,São João do Tigre,2514107,701.0,214.2180892407634,5.158506594312882,5.904664373879051
-36.85,-8.2,São João do Tigre,2514107,747.0,209.2054158343445,5.170612659601139,5.887301872885231
-36.8,-8.2,São João do Tigre,2514107,929.0,204.2190237906973,5.167362447266641,5.885811956715678
-36.75,-8.2,São João do Tigre,2514107,1021.0,199.2608861487308,5.160029770548567,5.885386056849353
-37.15,-8.15,São Sebastião do Umbuzeiro,2515203,679.0,237.624101620964,5.079857225658883,5.949771097996285
-37.1,-8.15,São Sebastião do Umbuzeiro,2515203,647.0,232.4603039056147,5.083949489416998,5.945083551668607
-37.05,-8.15,São Sebastião do Umbuzeiro,2515203,636.0,227.31335094920848,5.085524229977889,5.944853651839566
-37.0,-8.15,São Sebastião do Umbuzeiro,2515203,609.0,222.18441339295975,5.1423653514838,5.90511201716922
-36.95,-8.15,São Sebastião do Umbuzeiro,2515203,618.0,217.07476821808672,5.149519915339605,5.903419627740174
-36.9,-8.15,São João do Tigre,2514107,663.0,211.9858104832625,5.165392659146462,5.890354234505886
-36.85,-8.15,São João do Tigre,2514107,660.0,206.91906655188404,5.168349133302581,5.887255192699782
-36.8,-8.15,São João do Tigre,2514107,758.0,201.8762090150977,5.167362447266641,5.885811956715678
-36.75,-8.15,São João do Tigre,2514107,983.0,196.85907354516195,5.160908473443954,5.885386056849353
-36.7,-8.15,São João do Tigre,2514107,1117.0,191.86967794562776,5.144856784844502,5.865071569792316
-37.15,-8.1,Zabelê,2517407,682.0,235.7433697560808,5.092993057606532,5.949063300565818
-37.1,-8.1,Zabelê,2517407,614.0,230.53744946249563,5.077839067748876,5.94498649619732
-37.05,-8.1,São Sebastião do Umbuzeiro,2515203,598.0,225.34658247362,5.0837842844569385,5.908301441484692
-37.0,-8.1,São Sebastião do Umbuzeiro,2515203,583.0,220.1718335018257,5.151236574514914,5.903196571726304
