code,name,x,y,kappa,WIND_SPEED,SOLAR_IRRAD,M,M_norm,IPH,IPH_norm,rank_M,rank_IPH,delta_rank
2509305,Mataraca,0.9127213490501208,0.7026538655115189,0.4062296145442997,5.852432539016733,5.9339231914108215,1.1518605452615138,0.8144884025356505,1.1453577123485101,1.0,4,1,3
2501401,Baía da Traição,0.8783702024963249,0.7040016929271967,0.4111066647074246,5.785615021969476,5.934874571158316,1.1256787269366841,0.7959750612543692,1.123205713876941,0.9806593187152445,11,2,9
2503209,Cabedelo,0.7984458336131741,0.6915920726207182,0.4364574526684411,5.630151568312176,5.926115095504134,1.0563216101765869,0.7469321736697573,1.072936287505761,0.9367696012678416,33,3,30
2507507,João Pessoa,0.7793923218659937,0.6910270435826922,0.4549868173380856,5.593089971431164,5.925716263148247,1.041619300102634,0.7365360705173579,1.0716502730967503,0.935646795357386,40,4,36
2508604,Lucena,0.8024436706425659,0.6999490508856182,0.4217467820949604,5.637927889357099,5.932013966367709,1.064821355153057,0.7529424009809756,1.0704934356975555,0.9346367725612565,28,5,23
2514602,São José do Bonfim,0.5874455376085281,0.9606710337823043,0.32166468401489123,5.219728124274067,6.116047627776456,1.1260466663529243,0.7962352337106584,1.0523559885637204,0.9188011546243545,10,6,4
2509057,Marcação,0.7987048593801941,0.6997367462180817,0.39285094705909507,5.630655407640404,5.931864108634706,1.0618667366507926,0.7508531702022052,1.0458265492184655,0.9131003685076168,30,7,23
2513802,Santa Teresinha,0.47141471070913504,0.9929137058416365,0.32351528078921316,4.994032840938588,6.138806495006427,1.0991403262191544,0.777209578145158,1.0286487530508548,0.8981026119269339,20,8,12
2510808,Patos,0.5488354694170247,0.9583694712331325,0.3125417971882308,5.144626442135412,6.1144230429287205,1.1043968561535658,0.7809265061072904,1.0249986797979889,0.8949157706340233,16,9,7
2508703,Mãe d'Água,0.5196871318268798,0.9392161570072864,0.33784606075850115,5.087929075694422,6.100903452037563,1.073406588655941,0.7590130778089348,1.0154426562108692,0.8865725050462573,23,10,13
2506202,Frei Martinho,0.9285619179953815,0.7020581999968435,0.228445990929568,5.883244537791815,5.933502733939524,1.1640931885953416,0.8231381875888366,1.011180806524537,0.8828515280620507,1,11,-10
2509396,Maturéia,0.5848749845003848,0.8981101730731526,0.3335134891731519,5.214728058967506,6.071888312442657,1.0717651937210004,0.7578524363198331,1.0106064466352347,0.8823500603693728,24,12,12
2511400,Picuí,0.9346103292283391,0.6803954736205463,0.235024316617217,5.895009496496587,5.918211845128258,1.1560425891910868,0.8174455541574717,1.0095651368951137,0.8814409035802805,2,13,-11
2501153,Areia de Baraúnas,0.8234353212964511,0.7304636195004917,0.2968515274488013,5.6787594223954345,5.953553031567014,1.1007374018231364,0.7783388811348013,1.009389966872458,0.8812879644410341,18,14,4
2510303,Nova Palmeira,0.917716525704651,0.6987253615404344,0.23367659456053355,5.862148817358285,5.931150210929372,1.1534386643472752,0.8156043012427123,1.0061919368660328,0.878495797442073,3,15,-12
2501534,Baraúna,0.9307607568508274,0.670101149368506,0.23962346176285546,5.887521569781936,5.910945475937662,1.1468875868534447,0.8109719899227462,1.005299905540746,0.8777169740966068,5,16,-11
2507804,Junco do Seridó,0.8487828295223611,0.731308089575609,0.2664185185884552,5.728063673720435,5.954149110647677,1.1203766391578827,0.7922259190315324,1.0032895747672905,0.8759617750423887,13,17,-4
2513406,Santa Luzia,0.8190762240660494,0.7331785664327252,0.2876128074322358,5.670280402545345,5.955469408617073,1.0992891662827589,0.777314823963445,1.0008805227422655,0.8738584565777272,19,18,1
