lat,lon,WIND_SPEED,SOLAR_IRRAD,n_days,elev,dist_coast
-5.5,-34.5,7.074986177797178,6.052838513021969,13746,0.0,120.79735944388877
-5.5,-35.0,7.263942237741889,6.052838513021969,13746,0.0,109.1918230988239
-5.5,-35.5,5.859664629710461,5.756744289247781,13746,40.0,119.01809190373366
-5.5,-36.0,5.810799505310635,5.756744289247781,13746,240.0,148.18288621588115
-5.5,-36.5,5.810799505310635,6.019273475920268,13746,66.0,189.29554377558821
-5.5,-37.0,5.424636257820456,6.019273475920268,13746,101.0,235.55570260918475
-5.5,-37.5,4.968561035937727,6.07032175905718,13746,73.0,284.872654804925
-5.5,-38.0,4.882834279063,6.07032175905718,13746,128.0,336.03141310633737
-5.5,-38.5,4.657760075658373,5.956101709588244,13746,98.0,388.3046902209856
-5.5,-39.0,4.657760075658373,5.956101709588244,13746,181.0,441.2966066215845
-6.0,-34.5,7.033193656336389,6.052838513021969,13746,0.0,74.69402688526087
-6.0,-35.0,6.745720936999855,6.052838513021969,13746,78.0,53.93354487584566
-6.0,-35.5,5.334500945729667,5.756744289247781,13746,115.0,70.36070269681154
-6.0,-36.0,5.806737960133858,5.756744289247781,13746,511.0,112.4100457183386
-6.0,-36.5,5.806737960133858,6.019273475920268,13746,631.0,161.56880074081218
-6.0,-37.0,5.347794994907609,6.019273475920268,13746,334.0,213.7093284861161
-6.0,-37.5,4.608411901644114,6.07032175905718,13746,356.0,267.09102850130694
-6.0,-38.0,4.698227848101266,6.07032175905718,13746,221.0,321.09546655865756
-6.0,-38.5,4.490880256074495,5.956101709588244,13746,573.0,375.4540191526728
-6.0,-39.0,4.490880256074495,5.956101709588244,13746,327.0,430.0324209475438
-6.5,-34.5,6.942229739560599,5.951636752509821,13746,0.0,51.62076406442993
-6.5,-35.0,5.934798486832532,5.951636752509821,13746,3.0,0.2523130042818444
-6.5,-35.5,5.26617052233377,5.6384817619671175,13746,104.0,39.55187225645352
-6.5,-36.0,5.91307289393278,5.6384817619671175,13746,358.0,94.52020354759595
-6.5,-36.5,5.91307289393278,5.950549025170958,13746,459.0,149.6747402640281
-6.5,-37.0,5.423942965226247,5.950549025170958,13746,176.0,204.86514486917162
-6.5,-37.5,4.441895096755419,6.178662010766769,13746,144.0,260.0685832740394
-6.5,-38.0,4.407246471700859,6.178662010766769,13746,314.0,315.27820911823574
-6.5,-38.5,4.280234977447985,6.045700902080605,13746,328.0,370.4912563046199
-6.5,-39.0,4.280234977447985,6.045700902080605,13746,219.0,425.7063936168748
-7.0,-34.5,6.80812891022843,5.951636752509821,13746,0.0,35.95465867184302
-7.0,-35.0,5.203939327804453,5.951636752509821,13746,117.0,13.988627454290615
-7.0,-35.5,5.082800814782481,5.6384817619671175,13746,186.0,59.588953013455544
