name,IP_PB,WIND_SPEED,SOLAR_IRRAD
São José do Bonfim,1.0579044077525777,3.1004743125346197,5.890056207286908
Patos,1.0405765730441487,3.0904786224959158,5.8667380973365715
Maturéia,1.0376035285855516,2.9880401278978987,5.904047473227313
Teixeira,1.0287437622158047,3.074092936622466,5.85493814138198
Santa Teresinha,1.0250801399307576,2.9521708183126356,5.898507305914238
Mãe d'Água,1.0236117726518867,2.9277899827371843,5.905330876180773
Cacimba de Areia,1.018696954475397,3.120692472441077,5.817795710216376
Quixaba,1.0024981270176099,3.1232153138593954,5.7899433128044535
São José de Espinharas,0.9899575675375418,2.9408146751169473,5.848862987762912
Cacimbas,0.977183650748866,3.0729929320472182,5.771977985811336
