name,WIND_SPEED,group,IP_PB
Areia,3.8504837148974973,Good/Bad,0.9613492625295281
Alagoa Nova,3.746851423934348,Good/Bad,0.9188284058708441
Serra Redonda,3.72632673476918,Good/Bad,0.9137657497142878
Remígio,3.7085924384380404,Good/Bad,0.8989372807830696
Arara,3.688937748415402,Good/Bad,0.8871803006604071
Matinhas,3.673995797929299,Good/Bad,0.8897470568162891
Serraria,3.63524270412184,Good/Bad,0.8625504113241569
Alagoa Grande,3.6166252850422684,Good/Bad,0.8571005782604472
Pilões,3.599480625613708,Good/Bad,0.8470372405771713
São Sebastião de Lagoa de Roça,3.5939451332428005,Good/Bad,0.8564261282218476
