Variable,Method,n,RMSE,MAE,R2
WIND_SPEED (m/s),IDW,80,0.272156641298355,0.1976817788256229,0.8733959282904363
WIND_SPEED (m/s),KRIGING,80,0.24485902620826708,0.18040393193033138,0.8975193111587116
SOLAR_IRRAD (kWh/m2),IDW,80,0.08570658463368687,0.06524855911566255,0.8327690882429657
SOLAR_IRRAD (kWh/m2),KRIGING,80,0.08551463577294025,0.06604200591608789,0.8335173116780654
