Variable,Method,n,RMSE,MAE,R2
WIND_SPEED (m/s),IDW,36,0.7816384214169756,0.5604544004735913,0.30522094159318136
WIND_SPEED (m/s),KRIGING,36,0.7407617017763869,0.5162816455418262,0.3759894054402979
SOLAR_IRRAD (kWh/m2),IDW,36,0.5860972172743,0.47189499724422923,-0.07124509208174246
SOLAR_IRRAD (kWh/m2),KRIGING,36,0.5744665699494542,0.45100364206321014,-0.029150875764772488
